#Time Stamp,seconds since epoch,Input A,Input B,Input C,Input D1,Input D2,Pressure
Tue Mar 14 21:54:27 2017,1489553667.351393,;;;;;;,+296.081,+294.659,+295.746,+296.828,5.004E-1
Tue Mar 14 21:54:28 2017,1489553668.853948,+296.060,+296.081,+294.659,+295.746,+296.828,4.980E-1
Tue Mar 14 21:54:30 2017,1489553670.35651,+296.060,+296.080,+294.660,+295.745,+296.827,4.956E-1
Tue Mar 14 21:54:31 2017,1489553671.859106,+296.060,+296.080,+294.660,+295.745,+296.827,4.933E-1
Tue Mar 14 21:54:33 2017,1489553673.361672,+296.060,+296.081,+294.660,+295.745,+296.826,4.911E-1
Tue Mar 14 21:54:34 2017,1489553674.864274,+296.060,+296.080,+294.661,+295.745,+296.825,4.887E-1
Tue Mar 14 21:54:36 2017,1489553676.366851,+296.060,+296.080,+294.661,+295.745,+296.825,4.865E-1
Tue Mar 14 21:54:37 2017,1489553677.86945,+296.060,+296.080,+294.662,+295.744,+296.824,4.844E-1
Tue Mar 14 21:54:39 2017,1489553679.372056,+296.059,+296.080,+294.662,+295.744,+296.824,4.820E-1
Tue Mar 14 21:54:40 2017,1489553680.874678,+296.059,+296.080,+294.663,+295.744,+296.823,4.801E-1
Tue Mar 14 21:54:42 2017,1489553682.377223,+296.060,+296.080,+294.663,+295.744,+296.822,4.779E-1
Tue Mar 14 21:54:43 2017,1489553683.879846,+296.060,+296.080,+294.663,+295.744,+296.822,4.758E-1
Tue Mar 14 21:54:45 2017,1489553685.382381,+296.060,+296.080,+294.664,+295.743,+296.821,4.740E-1
Tue Mar 14 21:54:46 2017,1489553686.884959,+296.059,+296.080,+294.664,+295.743,+296.821,4.717E-1
Tue Mar 14 21:54:48 2017,1489553688.3875,+296.059,+296.080,+294.664,+295.743,+296.820,4.698E-1
Tue Mar 14 21:54:49 2017,1489553689.890105,+296.059,+296.080,+294.665,+295.742,+296.820,4.680E-1
Tue Mar 14 21:54:51 2017,1489553691.392652,+296.059,+296.080,+294.665,+295.742,+296.819,4.660E-1
Tue Mar 14 21:54:52 2017,1489553692.895248,+296.059,+296.080,+294.666,+295.742,+296.819,4.642E-1
Tue Mar 14 21:54:54 2017,1489553694.3979,+296.059,+296.080,+294.666,+295.742,+296.818,4.623E-1
Tue Mar 14 21:54:55 2017,1489553695.900505,+296.059,+296.079,+294.666,+295.741,+296.818,4.604E-1
Tue Mar 14 21:54:57 2017,1489553697.403044,+296.059,+296.080,+294.667,+295.741,+296.817,4.586E-1
Tue Mar 14 21:54:58 2017,1489553698.905653,+296.059,+296.080,+294.667,+295.741,+296.817,4.566E-1
Tue Mar 14 21:55:00 2017,1489553700.408261,+296.058,+296.079,+294.668,+295.740,+296.816,4.549E-1
Tue Mar 14 21:55:01 2017,1489553701.910902,+296.058,+296.079,+294.668,+295.740,+296.816,4.533E-1
Tue Mar 14 21:55:03 2017,1489553703.413485,+296.058,+296.079,+294.668,+295.740,+296.815,4.514E-1
Tue Mar 14 21:55:04 2017,1489553704.916043,+296.059,+296.079,+294.669,+295.740,+296.814,4.497E-1
Tue Mar 14 21:55:06 2017,1489553706.418654,+296.059,+296.080,+294.669,+295.739,+296.814,4.479E-1
Tue Mar 14 21:55:07 2017,1489553707.921355,+296.058,+296.080,+294.670,+295.739,+296.813,4.463E-1
